date,seasonal
2016-07-01 00:00:00,
2016-07-01 00:15:00,
2016-07-01 00:30:00,-0.7323315938313826
2016-07-01 00:45:00,-0.439666748046875
2016-07-01 01:00:00,-0.073333740234375
2016-07-01 01:15:00,-0.14666748046875
2016-07-01 01:30:00,-0.073333740234375
2016-07-01 01:45:00,-0.29266611735025805
2016-07-01 02:00:00,-0.14633305867513258
2016-07-01 02:15:00,0.0
2016-07-01 02:30:00,-0.43933359781901515
2016-07-01 02:45:00,-0.8056678771972727
2016-07-01 03:00:00,-1.1719983418782576
2016-07-01 03:15:00,-0.8791656494140625
2016-07-01 03:30:00,-0.5125020345052107
2016-07-01 03:45:00,-0.292999267578125
2016-07-01 04:00:00,-0.3663330078125
2016-07-01 04:15:00,-0.2928333282470703
2016-07-01 04:30:00,-0.2198340098063163
2016-07-01 04:45:00,-0.36599985758464015
2016-07-01 05:00:00,-0.43966674804687855
2016-07-01 05:15:00,-0.1466668446858712
2016-07-01 05:30:00,0.14666748046875355
2016-07-01 05:45:00,-0.21966679890950402
2016-07-01 06:00:00,-0.2928333282470703
2016-07-01 06:15:00,-0.2198340098063163
2016-07-01 06:30:00,-0.073333740234375
2016-07-01 06:45:00,0.0
2016-07-01 07:00:00,0.0
2016-07-01 07:15:00,0.0
2016-07-01 07:30:00,0.0
2016-07-01 07:45:00,0.0
2016-07-01 08:00:00,-0.14666620890299242
2016-07-01 08:15:00,-0.21966616312663234
2016-07-01 08:30:00,-0.07316652933756984
2016-07-01 08:45:00,0.0
2016-07-01 09:00:00,-0.14666748046874645
2016-07-01 09:15:00,-0.8053334554036446
2016-07-01 09:30:00,-0.659332275390625
2016-07-01 09:45:00,-0.14666620890299598
2016-07-01 10:00:00,-0.1463343302408866
2016-07-01 10:15:00,-0.07316716512044152
2016-07-01 10:30:00,0.0
2016-07-01 10:45:00,0.0
2016-07-01 11:00:00,0.0
2016-07-01 11:15:00,0.0
2016-07-01 11:30:00,-0.14633305867512547
2016-07-01 11:45:00,-0.07316652933756274
2016-07-01 12:00:00,0.0
2016-07-01 12:15:00,0.0
2016-07-01 12:30:00,-0.292999267578125
2016-07-01 12:45:00,-0.29316711425781605
2016-07-01 13:00:00,-0.073333740234375
2016-07-01 13:15:00,0.14666748046875355
2016-07-01 13:30:00,0.073333740234375
2016-07-01 13:45:00,0.0
2016-07-01 14:00:00,0.0
2016-07-01 14:15:00,0.0
2016-07-01 14:30:00,0.0
2016-07-01 14:45:00,0.0
2016-07-01 15:00:00,0.0
2016-07-01 15:15:00,0.0
2016-07-01 15:30:00,0.0
2016-07-01 15:45:00,0.0
2016-07-01 16:00:00,0.0
2016-07-01 16:15:00,-0.1463343302408866
2016-07-01 16:30:00,-0.07316716512044508
2016-07-01 16:45:00,0.0
2016-07-01 17:00:00,0.0
2016-07-01 17:15:00,0.0
2016-07-01 17:30:00,0.0
2016-07-01 17:45:00,0.0
2016-07-01 18:00:00,0.0
2016-07-01 18:15:00,0.0
2016-07-01 18:30:00,-0.14666620890299598
2016-07-01 18:45:00,-0.21999931335449574
2016-07-01 19:00:00,-0.07333310445149976
2016-07-01 19:15:00,0.0
2016-07-01 19:30:00,0.0
2016-07-01 19:45:00,0.0
2016-07-01 20:00:00,0.0
