date,residual
2016-07-01 00:00:00,0.5281007652176726
2016-07-01 00:15:00,0.09016867411151708
2016-07-01 00:30:00,-0.7877620939832823
2016-07-01 00:45:00,-1.0066963303254042
2016-07-01 01:00:00,-1.0056293962419076
2016-07-01 01:15:00,-1.2245637331379768
2016-07-01 01:30:00,-1.2234968996063031
2016-07-01 01:45:00,-1.6614292923743292
2016-07-01 02:00:00,-1.660362559390208
2016-07-01 02:15:00,-1.6592958766782573
2016-07-01 02:30:00,-2.317229640965948
2016-07-01 02:45:00,-3.1951646762268027
2016-07-01 03:00:00,-4.512594848426545
2016-07-01 03:15:00,-5.171028488862959
2016-07-01 03:30:00,-5.608965048218558
2016-07-01 03:45:00,-5.827896073123142
2016-07-01 04:00:00,-6.266330551002397
2016-07-01 04:15:00,-6.484763858442172
2016-07-01 04:30:00,-6.703698848834961
2016-07-01 04:45:00,-7.141631844811524
2016-07-01 05:00:00,-7.580566249080764
2016-07-01 05:15:00,-7.5795001695517605
2016-07-01 05:30:00,-7.358432919577943
2016-07-01 05:45:00,-7.796867749280317
2016-07-01 06:00:00,-8.015301408535748
2016-07-01 06:15:00,-8.23423675073672
2016-07-01 06:30:00,-8.233170922488618
2016-07-01 06:45:00,-8.232105144493495
2016-07-01 07:00:00,-8.231039416750285
2016-07-01 07:15:00,-8.229973739257922
2016-07-01 07:30:00,-8.22890811201534
2016-07-01 07:45:00,-8.227842535021473
2016-07-01 08:00:00,-8.446776321629745
2016-07-01 08:15:00,-8.665210433142807
2016-07-01 08:30:00,-8.664145006888685
2016-07-01 08:45:00,-8.663079630879015
2016-07-01 09:00:00,-8.882015525815834
2016-07-01 09:15:00,-9.978949823045767
2016-07-01 09:30:00,-10.417883224472021
2016-07-01 09:45:00,-10.416818049429473
2016-07-01 10:00:00,-10.635254419987369
2016-07-01 10:15:00,-10.634189345421987
2016-07-01 10:30:00,-10.63312432109359
2016-07-01 10:45:00,-10.63205934700111
2016-07-01 11:00:00,-10.63099442314347
2016-07-01 11:15:00,-10.629929549519623
2016-07-01 11:30:00,-10.848364314141183
2016-07-01 11:45:00,-10.847299540981698
2016-07-01 12:00:00,-10.846234818052796
2016-07-01 12:15:00,-10.845170145353418
2016-07-01 12:30:00,-11.28360442424967
2016-07-01 12:45:00,-11.50254107270925
2016-07-01 13:00:00,-11.501476550692018
2016-07-01 13:15:00,-11.280410858196912
2016-07-01 13:30:00,-11.279346436629115
2016-07-01 13:45:00,-11.27828206528444
2016-07-01 14:00:00,-11.277217744161813
2016-07-01 14:15:00,-11.276153473260177
