date,component_1,component_2
2016-07-01 00:00:00,54.67632297897531,0.0
2016-07-01 00:15:00,54.0554843903696,0.0
2016-07-01 00:30:00,52.812393776446484,0.0
2016-07-01 00:45:00,52.501265066389486,0.0
2016-07-01 01:00:00,52.501265066389486,0.0
2016-07-01 01:15:00,52.190136356332495,0.0
2016-07-01 01:30:00,52.190136356332495,0.0
2016-07-01 01:45:00,51.56929776772677,0.0
2016-07-01 02:00:00,51.56929776772677,0.0
2016-07-01 02:15:00,51.56929776772677,0.0
2016-07-01 02:30:00,50.63733046906405,0.0
2016-07-01 02:45:00,49.39423446034433,0.0
2016-07-01 03:00:00,47.529598539459684,0.0
2016-07-01 03:15:00,46.596924522441135,0.0
2016-07-01 03:30:00,45.976080539038804,0.0
2016-07-01 03:45:00,45.66495722377842,0.0
2016-07-01 04:00:00,45.043409219418564,0.0
2016-07-01 04:15:00,44.7329899251157,0.0
2016-07-01 04:30:00,44.42186121505871,0.0
2016-07-01 04:45:00,43.80102262645298,0.0
2016-07-01 05:00:00,43.178767903737295,0.0
2016-07-01 05:15:00,43.178767903737295,0.0
2016-07-01 05:30:00,43.48989661379429,0.0
2016-07-01 05:45:00,42.86834860943444,0.0
2016-07-01 06:00:00,42.55792931513158,0.0
2016-07-01 06:15:00,42.24680060507458,0.0
2016-07-01 06:30:00,42.24680060507458,0.0
2016-07-01 06:45:00,42.24680060507458,0.0
2016-07-01 07:00:00,42.24680060507458,0.0
2016-07-01 07:15:00,42.24680060507458,0.0
2016-07-01 07:30:00,42.24680060507458,0.0
2016-07-01 07:45:00,42.24680060507458,0.0
2016-07-01 08:00:00,41.9356745924159,0.0
2016-07-01 08:15:00,41.625255298113025,0.0
2016-07-01 08:30:00,41.625255298113025,0.0
2016-07-01 08:45:00,41.625255298113025,0.0
2016-07-01 09:00:00,41.31412658805604,0.0
2016-07-01 09:15:00,39.7613207007876,0.0
2016-07-01 09:30:00,39.13906867547021,0.0
2016-07-01 09:45:00,39.13906867547021,0.0
